manufacturer,manufacturer_cat_no,vendor,description,price,quantity,unitprice,units,link,category,vendor_cat_no,special_conditions,delivery_time,listprice,vat,obs
Sarstedt AG & Co,85.1638.005,SARSTEDT LDA,"Multifly® S-Monovette® needle, 21Gx3/4” Nº 2 (0,8x19mm) - green, tube length 60 mm.",58.5,100,0.585,UN,WWW.sarstedt.com,Blood Collection,85.1638.005,Room temperature,3 Days. No stock -15 days,0.59,21,
Sarstedt AG & Co,55.1578,SARSTEDT LDA,"Tube with round base, PP, 75x12mm, 5ml, Facscan.",116,2000,0.058,UN,WWW.sarstedt.com,Non-culture-plasticware,55.1578,Room temperature,3 Days. No stock -15 days,0.06,21,
Sarstedt AG & Co,55.459,SARSTEDT LDA,"Tube with round base, PS 100x16mm, 13ml, non-sterile.",27,1000,0.027,UN,WWW.sarstedt.com,Non-culture-plasticware,55.459,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,55.463,SARSTEDT LDA,"Tube with round base, PS 105x16.8mm, 14ml, non-sterile, StackPack packaging. ",38,1000,0.038,UN,WWW.sarstedt.com,Non-culture-plasticware,55.463,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,55.468.001,SARSTEDT LDA,"Tube with round base, PS 95x16,8mm, 13ml, steril.",39,500,0.078,UN,WWW.sarstedt.com,Non-culture-plasticware,55.468.001,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,55.475.001,SARSTEDT LDA,"Tube with round base, PS 75x13mm, 5ml, sterile.",49,1000,0.049,UN,WWW.sarstedt.com,Non-culture-plasticware,55.475.001,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,55.476,SARSTEDT LDA,"Tube with round base, PS 75x12mm, 5ml, non-sterile, StackPack packaging.",36,2000,0.018,UN,WWW.sarstedt.com,Non-culture-plasticware,55.476,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,55.484,SARSTEDT LDA,"Tube with round base, PS 55x12mm, 3.5ml, non-sterile, StackPack packaging.",40,2000,0.02,UN,WWW.sarstedt.com,Non-culture-plasticware,55.484,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,55.484.001,SARSTEDT LDA,"Tube with round base, PS 55x12mm, 3.5ml, sterile.",80,2000,0.04,UN,WWW.sarstedt.com,Non-culture-plasticware,55.484.001,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,55.518,SARSTEDT LDA,"Tube with round base, PP, 95x16.8mm, 13ml, non-sterile.",33,1000,0.033,UN,WWW.sarstedt.com,Non-culture-plasticware,55.518,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,55.525,SARSTEDT LDA,"Tube with round base, PP 75x13mm, 5ml, non-sterile, StackPack packaging.",40,2000,0.02,UN,WWW.sarstedt.com,Non-culture-plasticware,55.525,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,55.526.006,SARSTEDT LDA,"Tube with assembled two-position ventilation cap, PP 75x12mm, 5ml, without print, sterile.",101,1000,0.101,UN,WWW.sarstedt.com,Non-culture-plasticware,55.526.006,Room temperature,3 Days. No stock -15 days,0.1,21,
Sarstedt AG & Co,62.526.028,SARSTEDT LDA,"Tube with assembled two-position ventilation cap, PP 75x12mm, 5ml, with printed graduations, sterile, individually wrapped.",96.5,500,0.193,UN,WWW.sarstedt.com,Non-culture-plasticware,62.526.028,Room temperature,3 Days. No stock -15 days,0.19,21,
Sarstedt AG & Co,55.538,SARSTEDT LDA,"Tube with round base, PP, 105x16,8mm, 14ml, non-esterile.",38,1000,0.038,UN,WWW.sarstedt.com,Non-culture-plasticware,55.538,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,57.527,SARSTEDT LDA,"Tube with conical base, PP, 110x17mm, 12ml, with graduation, non-sterile.",45,1000,0.045,UN,WWW.sarstedt.com,Non-culture-plasticware,57.527,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,58.49,SARSTEDT LDA,"Tube with flat base, PS, 75x23.5mm, 23ml, non-sterile.",39.9,1000,0.04,UN,WWW.sarstedt.com,Non-culture-plasticware,58.49,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,60.542,SARSTEDT LDA,"Tube with flat base, PP, 57x16mm, 8ml, screw cap, non-sterile.",36,1000,0.036,UN,WWW.sarstedt.com,Non-culture-plasticware,60.542,Room temperature,3 Days. No stock -15 days,0.04,21,
Sarstedt AG & Co,60.546,SARSTEDT LDA,"Tube with round base, PP, 92x11.5mm, 6ml, neutral screw cap, non-sterile.",60,1000,0.06,UN,WWW.sarstedt.com,Non-culture-plasticware,60.546,Room temperature,3 Days. No stock -15 days,0.06,21,
SARSTEDT INC.,60.551.001,SARSTEDT LDA,"Tube with flat base, PP, 79x16.5mm, 10ml, screw cap, sterile.",121,1000,0.121,UN,WWW.sarstedt.com,Non-culture-plasticware,60.551.001,Room temperature,3 Days. No stock -15 days,0.12,21,
Sarstedt AG & Co,60.597.001,SARSTEDT LDA,"Tube with flat base, PP, 114x42mm, 120ml, screw cap, sterile. ",75.3,100,0.753,UN,WWW.sarstedt.com,Non-culture-plasticware,60.597.001,Room temperature,3 Days. No stock -15 days,0.75,21,
Sarstedt AG & Co,60.732,SARSTEDT LDA,"Tube with conical skirted base, PP, 76x20mm, 15ml, screw cap, non-sterile.",64.5,500,0.129,UN,WWW.sarstedt.com,Non-culture-plasticware,60.732,Room temperature,3 Days. No stock -15 days,0.13,21,
Sarstedt AG & Co,60.732.001,SARSTEDT LDA,"Tube with conical skirted base, PP, 76x20mm, 15ml, screw cap, sterile.",73.5,500,0.147,UN,WWW.sarstedt.com,Non-culture-plasticware,60.732.001,Room temperature,3 Days. No stock -15 days,0.15,21,
SARSTEDT Australia Pty. Ltd.,60.9922.241,SARSTEDT LDA,"Tube with conical skirted base, PP, 90x25mm, 25ml,  screw cap, non-sterile.",87,500,0.174,UN,WWW.sarstedt.com,Non-culture-plasticware,60.9922.241,Room temperature,3 Days. No stock -15 days,0.17,21,
SARSTEDT Australia Pty. Ltd.,60.9922.243,SARSTEDT LDA,"Tube with conical skirted base, PP, 90x25mm, 25ml, yellow screw cap, sterile.",111.5,500,0.223,UN,WWW.sarstedt.com,Non-culture-plasticware,60.9922.243,Room temperature,3 Days. No stock -15 days,0.22,21,
SARSTEDT Australia Pty. Ltd.,60.9922.936,SARSTEDT LDA,"Tube with round base, PC, 99x16mm, 12 ml, yellow screw cap, PP.",190,1000,0.19,UN,WWW.sarstedt.com,Non-culture-plasticware,60.9922.936,Room temperature,3 Days. No stock -15 days,0.19,21,
Sarstedt AG & Co,62.515.006,SARSTEDT LDA,"Tube with assembled two-position ventilation cap, PP 100x16mm, 13ml, with printed graduations, sterile.",60.5,500,0.121,UN,WWW.sarstedt.com,Non-culture-plasticware,62.515.006,Room temperature,3 Days. No stock -15 days,0.12,21,
Sarstedt AG & Co,62.543.001,SARSTEDT LDA,"Tube with conical skirted base, PP, 107x25mm, 30ml, graduation, screw cap, sterile.",93.6,400,0.234,UN,WWW.sarstedt.com,Non-culture-plasticware,62.543.001,Room temperature,3 Days. No stock -15 days,0.23,21,
Sarstedt AG & Co,62.547.004,SARSTEDT LDA,"Tube with conical base, PP, 114x28mm, 50ml, red crew cap, with graduation and writing space, non-pyrogenic, sterile, 25/styrofoam rack.",62.1,300,0.207,UN,WWW.sarstedt.com,Non-culture-plasticware,62.547.004,Room temperature,3 Days. No stock -15 days,0.21,21,
Sarstedt AG & Co,62.547.254,SARSTEDT LDA,"Tube with conical base, PP, 114x28mm, 50ml, red crew cap, with graduation and writing space, non-pyrogenic, sterile, 25/bag.",12.9,100,0.129,UN,WWW.sarstedt.com,Non-culture-plasticware,62.547.254,Room temperature,3 Days. No stock -15 days,0.19,21,
Sarstedt AG & Co,62.548.004,SARSTEDT LDA,"Tube with conical base, PP, 114x28mm, 50ml, red crew cap, with graduation and writing space, non-sterile, 50/bag.",51,300,0.17,UN,WWW.sarstedt.com,Non-culture-plasticware,62.548.004,Room temperature,3 Days. No stock -15 days,0.17,21,
Sarstedt AG & Co,62.553.041,SARSTEDT LDA,"Tube with conical bases, PS, 120x17mm, 15ml, yellow screw cap, with graduation and writing space, non-sterile, 50/bag.",68,500,0.136,UN,WWW.sarstedt.com,Non-culture-plasticware,62.553.041,Room temperature,3 Days. No stock -15 days,0.14,21,
Sarstedt AG & Co,62.554.001,SARSTEDT LDA,"Tube with conical bases, PP, 120x17mm, 15ml, red screw cap, with graduation and writing space, non-sterile, 50/bag.",77.5,500,0.155,UN,WWW.sarstedt.com,Non-culture-plasticware,62.554.001,Room temperature,3 Days. No stock -15 days,0.16,21,
Sarstedt AG & Co,62.554.002,SARSTEDT LDA,"Tube with conical bases, PP, 120x17mm, 15ml, red screw cap, with graduation and writing space, non-pyrogenic, sterile, 50/styrofoam rack.",87,500,0.174,UN,WWW.sarstedt.com,Non-culture-plasticware,62.554.002,Room temperature,3 Days. No stock -15 days,0.21,21,
Sarstedt AG & Co,62.554.502,SARSTEDT LDA,"Tube with conical bases, PP, 120x17mm, 15ml, red screw cap, with graduation and writing space, non-pyrogenic, sterile, 50/bag.",12,100,0.12,UN,WWW.sarstedt.com,Non-culture-plasticware,62.554.502,Room temperature,3 Days. No stock -15 days,0.16,21,
Sarstedt AG & Co,62.559,SARSTEDT LDA,"Tube with conical skirted base, PP, 115x28mm, 50ml, red screw cap, with graduation and writing space, non-sterile. ",62.7,300,0.209,UN,WWW.sarstedt.com,Non-culture-plasticware,62.559,Room temperature,3 Days. No stock -15 days,0.21,21,
Sarstedt AG & Co,62.559.001,SARSTEDT LDA,"Tube with conical skirted base, PP, 115x28mm, 50ml, red screw cap, with graduation and writing space, non-pyrogenic, sterile. ",19.5,100,0.195,UN,WWW.sarstedt.com,Non-culture-plasticware,62.559.001,Room temperature,3 Days. No stock -15 days,0.2,21,
SARSTEDT Australia Pty. Ltd.,63.9922.254,SARSTEDT LDA,"Tube with conical skirted base, PP, 90x25mm, 25ml, yellow screw cap, with label,sterile.",123.5,500,0.247,UN,WWW.sarstedt.com,Non-culture-plasticware,63.9922.254,Room temperature,3 Days. No stock -15 days,0.25,21,
Sarstedt AG & Co,65.713,SARSTEDT LDA,"Colour coded inserts for loop screw cap, neutral.",8,500,0.016,UN,WWW.sarstedt.com,Non-culture-plasticware,65.713,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.713.002,SARSTEDT LDA,"Colour coded inserts for loop screw cap, red.",8,500,0.016,UN,WWW.sarstedt.com,Non-culture-plasticware,65.713.002,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.713.004,SARSTEDT LDA,"Colour coded inserts for loop screw cap, yellow.",8,500,0.016,UN,WWW.sarstedt.com,Non-culture-plasticware,65.713.004,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.713.005,SARSTEDT LDA,"Colour coded inserts for loop screw cap, green.",8,500,0.016,UN,WWW.sarstedt.com,Non-culture-plasticware,65.713.005,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.713.006,SARSTEDT LDA,"Colour coded inserts for loop screw cap, blue.",8,500,0.016,UN,WWW.sarstedt.com,Non-culture-plasticware,65.713.006,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.713.007,SARSTEDT LDA,"Colour coded inserts for loop screw cap, violet.",8,500,0.016,UN,WWW.sarstedt.com,Non-culture-plasticware,65.713.007,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.713.009,SARSTEDT LDA,"Colour coded inserts for loop screw cap, white.",8,500,0.016,UN,WWW.sarstedt.com,Non-culture-plasticware,65.713.009,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.713.010,SARSTEDT LDA,"Colour coded inserts for loop screw cap, black.",8,500,0.016,UN,WWW.sarstedt.com,Non-culture-plasticware,65.713.010,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.716,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, neutral.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.001,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, blue.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.001,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.002,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, yellow.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.002,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.003,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, red.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.003,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.004,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, pink.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.004,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.005,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, green.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.005,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.006,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, orange.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.006,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.007,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, black.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.007,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.008,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, violet.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.008,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.009,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, brown.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.009,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.022,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, white.",15,500,0.03,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.022,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.716.999,SARSTEDT LDA,"Screw cap for microtubes type A-I, colour-coded, mixed colours.",19,1000,0.019,UN,WWW.sarstedt.com,Non-culture-plasticware,65.716.999,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,65.793,SARSTEDT LDA,"Push cap for test and centrifuge tube, PE, for tubes Ø 15,5mm to 17mm, neutral.",14,1000,0.014,UN,WWW.sarstedt.com,Non-culture-plasticware,65.793,Room temperature,3 Days. No stock -15 days,0.01,21,
Sarstedt AG & Co,65.793.513,SARSTEDT LDA,"Push cap for test and centrifuge tube, PE, for tubes Ø 15,5mm to 17mm, blue.",75,5000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,65.793.513,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.793.518,SARSTEDT LDA,"Push cap for test and centrifuge tube, PE, for tubes Ø 15,5mm to 17mm, red.",75,5000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,65.793.518,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.809,SARSTEDT LDA,"Push cap for test and centrifuge tube, PE, for tubes Ø 11,5mm to 12mm, neutral.",15,1000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,65.809,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.809.003,SARSTEDT LDA,"Push cap for test and centrifuge tube, PE, for tubes Ø 11,5mm to 12mm, violet.",150,10000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,65.809.003,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.809.503,SARSTEDT LDA,"Push cap for test and centrifuge tube, PE, for tubes Ø 11,5mm to 12mm, orange.",150,10000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,65.809.503,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,65.816,SARSTEDT LDA,"Push cap for test and centrifuge tube, PE, for tubes Ø 15,5mm to 17mm, neutral.",27,1000,0.027,UN,WWW.sarstedt.com,Non-culture-plasticware,65.816,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,67.74,SARSTEDT LDA,"Semi-micro cuvette 10x4mm, optical pathway 10mm, 1,6ml, Acrilic (PMMA), 100/styrofoam rack by mold cavity number.",400,2000,0.2,UN,WWW.sarstedt.com,Non-culture-plasticware,67.74,Room temperature,3 Days. No stock -15 days,0.2,21,
Sarstedt AG & Co,67.741,SARSTEDT LDA,"Cuvette 10x10mm, optical pathway 10mm, 4ml,PS, 100/styrofoam rack by mold cavity number.",90,2000,0.045,UN,WWW.sarstedt.com,Non-culture-plasticware,67.741,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,67.742,SARSTEDT LDA,"Semi-micro cuvette 10x4mm, optical pathway 10mm, 1,6ml, PS, 100/styrofoam rack by mold cavity number.",104,2000,0.052,UN,WWW.sarstedt.com,Non-culture-plasticware,67.742,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,67.754,SARSTEDT LDA,"Cuvette 10x10mm for fluorescence measurements, 4 optical sides,  4ml, PS, 100/styrofoam rack by mold cavity number.",158,2000,0.079,UN,WWW.sarstedt.com,Non-culture-plasticware,67.754,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,67.755,SARSTEDT LDA,"Cuvette 10x10mm for fluorescence measurements, 4 optical sides,  4ml, Acrilic (PMMA), 100/styrofoam rack by mold cavity number.",210,2000,0.105,UN,WWW.sarstedt.com,Non-culture-plasticware,67.755,Room temperature,3 Days. No stock -15 days,0.11,21,
Sarstedt AG & Co,67.758,SARSTEDT LDA,"UV micro cuvette, 12,5x12,5x45mm, 120ul minimum sample volume, 8,5mm light center height, 10mm optical path lenght, of precise optical quality, 100/styrofoam rack. ",132,400,0.33,UN,WWW.sarstedt.com,Non-culture-plasticware,67.758,Room temperature,3 Days. No stock -15 days,0.33,21,
Sarstedt AG & Co,70.1115,SARSTEDT LDA,"Pipette tips without filter, neutral, 10µl (Eppendorf), type D, non-sterile, 1.000/bag (colour code tray: light grey).",75,5000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1115,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,70.1115.100,SARSTEDT LDA,"Pipette tip without filter, neutral, 10µl (Eppendorf), type D, non-sterile, 96/box (colour code tray: light grey).",65.28,1920,0.034,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1115.100,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,70.1115.210,SARSTEDT LDA,"Biosphere® pipette tip with filter, neutral, 10µl (Eppendorf), type D, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: light grey).",24,480,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1115.210,Room temperature,3 Days. No stock -15 days,0.1,21,
Sarstedt AG & Co,70.1116,SARSTEDT LDA,"Pipette tip without filter, neutral, 20µl, type J, non-sterile, 1.000/bag (colour code tray: light grey).",150,10000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1116,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,70.113,SARSTEDT LDA,"Pipette tip without filter, neutral, 10µl (Gilson), type E, non-sterile, 1.000/bag (colour code tray: grey).",75,5000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,70.113,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,70.1130.100,SARSTEDT LDA,"Pipette tip without filter, neutral, 10µl (Gilson), type E, non-sterile, 96/box (colour code tray: grey).",63.36,1920,0.033,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1130.100,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,70.1130.200,SARSTEDT LDA,"Biosphere® pipette tip without filter, neutral, 10µl (Gilson), type E,  sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: grey).",96,1920,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1130.200,Room temperature,3 Days. No stock -15 days,0.05,21,
Sarstedt AG & Co,70.1130.210,SARSTEDT LDA,"Biosphere® pipette tip with filter, neutral, 10µl (Gilson), type E, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: grey).",24,480,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1130.210,Room temperature,3 Days. No stock -15 days,0.09,21,
Sarstedt AG & Co,70.1130.212,SARSTEDT LDA,"Biosphere® pipette tip with filter, neutral, 2,5 µl (Eppendorf / Gilson), type E, sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: grey).",96,1920,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1130.212,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,70.1130.690,SARSTEDT LDA,"Starter-Kit - Pipette tip without filter, neutral, 10µl (Gilson), type E, non-sterile, 3x576/StackPack+1xTip SystemBox.",27,1,27,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1130.690,Room temperature,3 Days. No stock -15 days,30,21,
Sarstedt AG & Co,70.1131,SARSTEDT LDA,"Ponta longa para pipeta, neutral, 10µl (Gilson), type E long, non-sterile, 1.000/bag (colour code tray: grey).",150,10000,0.015,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1131,Room temperature,3 Days. No stock -15 days,0.02,21,
Sarstedt AG & Co,70.1131.100,SARSTEDT LDA,"Ponta longa para pipeta, neutral, 10µl (Gilson), type E long, non-sterile, 96/box (colour code tray: grey).",63.36,1920,0.033,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1131.100,Room temperature,3 Days. No stock -15 days,0.03,21,
Sarstedt AG & Co,70.1131.210,SARSTEDT LDA,"Biosphere® pipette tip with filter, neutral, 10µl (Gilson), type E long,  sterile,  DNA-, RNase- and ATP-free and non-pyrogenic, 96/box (colour code tray: grey).",96,1920,0.05,UN,WWW.sarstedt.com,Non-culture-plasticware,70.1131.210,Room temperature,3 Days. No stock -15 days,0.08,21,
Sarstedt AG & Co,70.760.002,SARSTEDT LDA,"Pipette tip without filter, yellow, 200µl, type A, non-sterile, 500/bag (colour code tray: yellow).",6,1000,0.006,UN,WWW.sarstedt.com,Non-culture-plasticware,70.760.002,Room temperature,3 Days. No stock -15 days,0.01,21,
