SAP,NAME,ADDRESS,ZIPCODE,CITY,COUNTRY,PHONE,FAX,EMAIL,OBS,LINK
210036,CASTINTA-SOC COM REPR TINTAS,R FERNÃO LOPES 4 - 1º DTº,2795,CARNAXIDE,PT,21 210 85 75,,,SR AUGUSTO VAZ,
210037,M.E.MANUEL SILVA C E A LDA,"CALÇADA DE STº ANDRÉ,Nº 16",1100-497,LISBOA,PT,21 887 00 13,21 888 42 84,manueldasilvac@net.novis.pt,novo fornecedor 21 9666,
210038,FRANCISCO R COSTA ANTUNES,"R TORRE, 26-A",1300,LISBOA,PT,21 362 36 82,21 362 36 87,,,
210039,TELELAC-TELEC ELECTRONICA LDA,"R. FRANCISCO M. BEATO, 46-1º ESQ",1885,MOSCAVIDE,PT,21 945 88 40,21 945 88 49,geral@telelac.pt,VER NOTA,
210041,COFELY,"R. DO ARCO A ALCANTARA, 44",1350-021,LISBOA,PT,21 392 80 30,21 392 80 40,antonio.hilario@cofely-gdfsuez.com,VER NOTA,
210042,PCI-COM PRODUT INFORMATICA LDAC. COMER.SOTTO MAYOR,"R DR FRANCISCO DUARTE,93-LOJA 4-1º",4700,BRAGA,PT,253 216233,253 261905,pci@net.novis.pt,,
210043,PROLOGICA-SIST INFORMATICOS SA,R. DAS QUINTINHAS Nº1,2790-145,OUTURELA-CARNAXIDE,PT,21 415 73 00,21 414 46 15,mgoncalves@prologica.pt,,
210044,PUBLICO COMUNICAÇÃO SOCIAL SA,"RUA VIRIATO, 13,",1069-315,LISBOA,PT,21 011 10 10,21 011 10 30,amrocha@publico.pt,Angelica Rocha,
210045,JOSE MANUEL COSTA ALVES LDA,"R. ESQUERDA, 13",1600-445,LISBOA,PT,21 758 97 91,21 759 90 75,jmca@jmcafotografia.com,,
210047,A F SIMOES-MATERIAL ELECTRICO,"Estrada Nacional, 249/4",2785-035,S. DOMINGOS DE RANA,PT,214450686,214450685,,,
210048,CONFECCOES FATI LDA,"AV. ELIAS GARCIA, 133-A",1000,LISBOA,PT,21 7976677,21 793 85 23,,,
210049,PHARMACIA & UPJOHN LABORAT. LDA.,"AV. DO FORTE, 3-EDIFICIO SUECIA II",2795-505,CARNAXIDE,PT,214249200,214249299,,,
210050,FONSECA & SEABRA-ASSIST MAN LDA,"CAMPO MARTIRES PATRIA, 50-2º ESQ.",1100,LISBOA,PT,21 885 11 90,21 885 19 75,,,
210051,PARTACOS-PARQ TACOS MADEIRAS,"R. BENEFICENCIA, 130-1º C",1600,LISBOA,PT,21 796 82 58,21 797 26 71,,,
210052,DESTARTE-REPRESENT EDICAO LDA,"R. STO. ANTONIO DA GLORIA, 90",1200,LISBOA,PT,,,,,
210053,RICARDO MEALHA-ATELIER DESIGN LDA,"AV LIBERDADE, 200- 9º",1250-147,LISBOA,PT,21 351 41 80,21 351 41 99,,,
210054,VALENTIM CARVALHO ELECTRÓNICA SA,"ESTRADA DE PAÇO DE ARCOS, 26",2784-506,PAÇO DE ARCOS,PT,21 440 1000,21 440 1095,,,
210055,TECMIRA-IMP EXP EQUIP ELEC LDA,"ESTR. PRINCIPAL, LOTE 8-C",1675,VALE GRANDE-PONTINHA,PT,21 981 83 90,21 981 83 99,,,
210056,BAVIERA COM AUTOMOVEIS SA,RUA DO BARREIRO 547,4405-730,VILA NOVA DE GAIA,PT,21 891 2300,21 891 2394,Carla.canelas@baviera.pt,,
210057,JOSE M VAZ PEREIRA,R FAZENDAS NOVAS QTA VERD FRACÇÃO C,2130-001,BENAVENTE,PT,26 351 77 14,26 351 77 09,vpvendas@vazpereira.pt,,
210058,ATLAS-ASCENSORES LDA,R NOSSA SRª DA CONCEIÇÃO 3,2790-111,CARNAXIDE,PT,214251600,214251739,,Fornecedor bloqueado ( Incorporada pela Schindler),
210059,DIGIBERIA - INFORMATICA LDANOVO FORNECEDOR 211254,R EDUARDO BAIRRADA 41 PISO 4,1300-212,LISBOA,PT,21 361 63 60,21 361 63 76,comercial@digiberia.eu,,
210060,STM-SOC TECNICA ARTES GRAF SA,AV. COMENDADOR NUNES CORREA 6,2790-483,ALTO BARRONHOS CARNAXIDE,PT,21 424 12 70,21 424 12 79,stm.sa@mail.telepac.pt,,
210061,DOULOS AUDOVISUAIS LDA,"AV. FRANCISCA LINDOSO, L 22",2775,MATARRAQUE - PAREDE,PT,21 453 09 90,21 453 07 75,,,
210062,MASCARAS OXIGENIO OXVITAL LDA,"R. DR. JULIO DANTAS, 10 C/V ESQ.",1070-095,LISBOA,PT,21 387 43 89,213877695,oxvital@netcabo.pt,,
210063,"KPNQWEST PORTUGAL,TELECOM.,LDAPARQUE HOLANDA, EDIFÍCIO A","ESTRADA DA OUTURELA, 118 - BLOCO A",2790-114,CARNAXIDE,PT,21 794 94 00,21 794 94 66,,,
210064,LIVRARIA PAPA-FIGOS,CX. POSTAL 250-ALDEIA DA SERRA,7170,D'OSSA,PT,266-909206,266-909207,,,
210065,JOSE CARLOS PAIS,"Estrada da Lage, nº21 B. da Mina",2785-165,S DOMINGOS RANA,PT,21 456 03 80,,josecarlospais@live.com.pt,e-mail,
210066,MIRASETE-ARTES GRAFICAS LDA,R DO ARCO DO CARVALHÃO 31-A/B,1000,LISBOA,PT,21 387 52 30,21 387 65 70,mirasetelda@gmail.com,,
210067,LITOGRAFIA TEJO LDA,R. DAS TAIPAS 18 C/V,1200,LISBOA,PT,21 342 18 25,21 342 27 24,,,
210068,SISIL-SOC IBERO-SUICA IMP EXP,APARTADO 1758,2696-601,SANTA IRIA DE AZOIA,PT,21 954 01 70,21 956 60 12,,,
210069,IZASA PORTUGAL-DISTRIB TEC LDA,R DO PROLETARIADO 1,2790-138,CARNAXIDE,PT,21 424 73 64,21 417 26 59,dac@izasa.pt,,
210070,SOJORNAL SOC JORN EDITORIAL SA,EDIFÍCIO S. FRANCISCO SALES,2770-022,PAÇO DE ARCOS,PT,21 454 40 34,21 443 53 10,jvalverde@impresa.pt,Srª Dª Manuela Battle Font,
210072,MUSICOTECA-EDICOES MUSICA LDA,"R. JOAO PEREIRA DA ROSA, 8",1200,LISBOA,PT,,,,,
210073,INTERMUSICA-REPR MUSICAIS ART LDA,"AV COLUMBANO BORDALO PINHEIRO,59-5º",1070-061,LISBOA,PT,21 727 72 14,21 727 72 13,intermusica@intermusica.pt,isabel,
210074,VIVEIROS FALCÃO EMP.AGRI.JARD. SA,ESTRADA DE OEIRAS,2740-135,PORTO SALVO,PT,21 421 66 88,21 423 90 45,geral@viveirosfalcao.pt,,
210075,AMADEU FERREIRA SILVA LDA,"PR. DAS AGUAS LIVRES, 8-LOJA 8 E",1200,LISBOA,PT,21 388 65 92,21 386 24 61,amadeufsilva.lda@mail.telepac.pt,,
210076,LUZEIRO LDA,"PCTA DAS FLORES, 4-A QTA.GRANDE",2610-074,ALFRAGIDE,PT,21 472 19 50,21 471 21 75,geral@luzeiro.pt,,
210077,PEDRO SERRAS LDA,"R MANUEL SANTOS, 27-B",1900,LISBOA,PT,21 843 54 70,21 843 54 79,pserras@mail.telepac.pt,,
210078,PACI-MATERIAL CIENT INDUST LDA,"R. ACTRIZ ADELINA FERNANDES, 13 A-B",2795,LINDA-A-VELHA,PT,214 155 740,214155749,geral@paci.pt,,
210079,DIRECTAMENTE-IMP DIGITAL SA,"R. DA VENEZUELA, 49-A",1500,LISBOA,PT,21 711 04 50,21 711 04 58,,,
210080,OSRAM EMP APAREL ELECTRICA LDA,R DO ALTO DO MONTIJO Nº15,2795-619,CARNAXIDE,PT,21 416 58 64,21 417 12 59,r.rodriguez@osram.pt,VER NOTA,
210081,TABACARIA NOTA GROSSA,"AV. CONDE VALBOM, 127-C",1000,LISBOA,PT,,,,,
210082,RODRINVEST-INVESTIMENTOS COMERCIAIS,"TV. DOS APÓSTOLOS, 8 R/C ESQ.",2080,ALMEIRIM,PT,91-7322489,243593290,,,
210083,"COMPANHIA IBM PORTUGUESA, SA","Rua do Mar da China, lote 1.07.2.3",1990-138,LISBOA,PT,21 892 70 00,21 892 71 40,ibm_directo@pt.ibm.com,,
210084,TELFAX-EQUIPAM ESCRITORIO LDA,ED ESTORIL OFFICE,2649-517,ALCABIDECHE,PT,21 460 66 00,21 460 66 09,info@telfax.pt,,
210085,ZEFERINO JOSE (HERDEIROS) LDA,"RUA POETA BOCAGE, 10 C - 1º.ESC.B",1600-581,LISBOA,PT,21 712 20 00,217140138,zeferino@netcabo.pt,,
210086,EMPRESA TRANSP MAN HENR MACHADO LDA,"AV.5 DE OUTUBRO, 261-B",1000,LISBOA,PT,21 793 53 37,21 795 18 42,,,
210087,CASA JOAOZINHO LDA,APARTADO 4002,2746,MASSAMA,PT,21 437 25 64,21 439 01 57,casajoaozinho@sapo.pt,,
210089,LUXTRO MAT ESPECTACULO LDA,"TRAV. REBELO SILVA, 11-A PORTA 12",1000,LISBOA,PT,21 355 16 75/6,21 355 16 77,,,
210090,GRAFICA RIBEIRO & RIBEIRO LDA,"RUA DO ALTO DO FORTE,Nº13",2635-446,RIO DE MOURO,PT,21 916 73 12,21 916 73 12,ribeiro.grafica@gmail.com,,
210091,DIMATUR COM INTERNACIONAL LDA,"URB. DOS FAREJAIS, LOTE 9",2460-814,TURQUEL,PT,26 291 51 05,26 291 51 01,encomendas@dimatur.pt,,
210092,VIDRARIA MIL E UM LDA,R COMANDANTE CARVALHO ARAUJO 4,2670-356,FANQUEIRO,PT,21 983 67 84,21 983 46 30,info@vidrariamileum.pt,,
210093,JEC-PAPEIS SUL LDA,"AV.D.JOAO II,10 SCAVE DT.-APART.206",2901-901,SETUBAL,PT,,,,,
210094,LABO 2 DIGITAL-CENT COM IMAGEM,"RUA HENRIQUE PAIVA COUCEIRO, 25",2700-451,VENDA NOVA,PT,214999040,214999050,,,
210095,PVL-PRODUTOS LABORATORIO LDA,R MAJOR JOÃO LUIS MOURA,1685-253,FAMÕES,PT,21 933 54 60,21 933 54 61,pvl@pvl.pt,,
210096,IMOBILIARIA ROCHA LDAHOTEL IMPALA,"R. FILIPE FOLQUE, 49",1050-111,LISBOA,PT,21 314 89 14,21 357 53 62,,,
210097,A MACHADO AUDIOVISUAIS LDA,"R. NOVA DO ALMADA, 80-1º-ESQ.",1200-289,LISBOA,PT,21 347 57 70,21 347 67 85,a.machado.audiovlda@mail.telepac.pt,,
210098,MERCK ( VWR),R ALFREDO DA SILVA 3-C,1300,LISBOA,PT,21 361 35 00,21 361 36 62,anacatarino@merck.pt,,
210099,AMERSHAM PHARMACIA BIOT EUROPE GMBH,AV. DO FORTE 3 - EDF SUECIA II,2795,CARNAXIDE,PT,214177035,214173184,,,
210100,STTEI LDA,"CAMPO GRANDE, 382 C-1º A",1700-097,LISBOA,PT,21 754 24 80,21 752 08 19,geral@sttei.pt,,
210101,TAPEX LDA,"PTA DOMINGOS RODRIGUES, 3 JL-R/C",2685,FIGO MADURO,PT,21 9419087,21 9419295,,,
210102,ELECTRO-CATBOR BOB REP ELECTR,AZINHAGA DA CIDADE LETRAS EEF,1750,LISBOA,PT,21 758 02 03,21 758 02 03,,,
210103,DEB (PORTUGAL) QUIMICOS LDA,"CALC. DO GRILO, 9 - 9/A",1900,LISBOA,PT,21 868 05 03,21 868 35 36,,,
210104,MOURÃO SERRA LDA,"R. JACINTO MARTO, N.10-A",1100,LISBOA,PT,213554804,213526119,info@mouraoserra.pt,,
210105,BARRAL-QUIMICO SANITARIA SA,"R. ALFREDO DA SILVA, 3-C",1300,LISBOA,PT,,,,,
210106,MANUEL NEVES,"R ESPERANCA CARDAL, 2 - PORTA-A",1100,LISBOA,PT,,,,,
210107,OS UNIDOS DE LISBOA,"R. ACTOR DO VALE, 25-B",1900,LISBOA,PT,21 816 00 00,21 816 00 09,,,
210108,CENTRUM FOM TECNICO INDUST LDA,"AV. INFANTE D. HENRIQUE,334 armaz1",1800,LISBOA,PT,21 851 25 82,21 852 19 91,centrum@centrum.pt,,
210109,JOSE PAULO FIALHO,"R.DAS FLORES, 5-BOGALHEIRA-CAMARATE",2685,LOURES,PT,21 947 37 66,21 947 37 66,,,
210110,MARCENARIA AVELINO & CASTRO LD,Z. INDUST.-PAVILHAO 1 - LIMITES RAL,2710,SINTRA,PT,21 961 08 91,21 961 08 88,avmcastro@mail.telepac.pt,,
210111,RODRIGO FERREIRA SOUZA,"Rua Marcos Portugal,87",1200,LISBOA,PT,,,,e-mail Não tem e-mail,
210112,LUSOLAB-MATERIAL LABORATORIO LDA,"AV. GENERAL HUMBERTO DELGADO, 1",2701-801,AMADORA,PT,21 494 54 64,21 492 09 60,,,
210113,REI FARDAS,"R. ALEXANDRE HERCULANO, N.11-A",1150,LISBOA,PT,21 353 63 51,21 315 18 97,comercial@reidasfardas.pt,,
210114,ULTRAFERRAGENS LDA,"R. DO GRILO, 26-28",1950-145,LISBOA,PT,21 868 12 27,21 868 63 88,ultraferragens@mail.telepac.pt,,
210115,SILVA & FEIJOO LDA,"R. DOS BACALHOEIROS, 117/119",1100,LISBOA,PT,21 8869910,21 8874904,,,
210116,HONEYWELL LDA,"ED.SUECIA II- AV.FORTE, 3 - PISO 3",2795,CARNAXIDE,PT,21 424 50 00,21 424 50 99,,,
210117,JOSE A ALVES LDA,"CALÇADA DE SANTO ANDRE, 42",1100-497,LISBOA,PT,21 886 92 71,,,,
210118,CEMOBE-CEDENCIA MAO OBRA LDA,R D JOAO V 2-1º,1200,LISBOA,PT,21 386 60 68,21 386 60 69,gabriela.pagani@semobe.pt,,
210119,DIARIO NOTICIAS SA,"AV LIBERDADE, 266",1250-149,LISBOA,PT,213187500,213187506,,,
210120,LIVRARIA BUCHHOLZ LDA,"R. DUQUE DE PALMELA, 4",1250-098,LISBOA,PT,21 317 05 80,21 352 26 34,Contab.buchholz@mail.telepac.pt,e-mail,
210121,FARDIL-FARD CONFEC COM IND LDA,"R. DE SANTOS-O-VELHO, 38",1200,LISBOA,PT,213907719,213962485,,,
210122,BARATA & RIBEIRO LDA,"AV. LUIS BIVAR, 27",1000,LISBOA,PT,,,,,
210123,VIVEIROS S JORGE LDA,R 28 SETEMBRO,2670-312,FRIELAS,PT,21 989 81 30,21 989 81 31,lisboa@sjorge.pt,,
210124,INTERESCRITORIO MOB INT P ESCR SA,R DAS JANELAS VERDES Nº 60/68,1200-691,LISBOA,PT,21 391 04 90,21 391 04 99,interescritorio@interescritorio.pt,,
210126,PROVERDE-ARQUIT PAISAGISTA LDA,"R. RODRIGO DA FONSECA, 10-3.",1200,LISBOA,PT,,,,,
210127,CREDITEX-ALUGUER EQUIPAMENT SA,AV INFANTE D.HENRIQUE-APARTADO 8074,1801-001,LISBOA,PT,210400444,210400449,,,
210129,B BRAUN MEDICAL LDA,"EST.CONSIGLIERI PEDROSA, 80 Q BAIXO",2730-053,BARCARENA,PT,214368200 /214394949,214368282,,,
210131,JALF-ART ESCRIT PAPELARIA LDA,"R. SEBAST.SILVA, 40-44 -ZN.INDUST",2745-838,MASSAMA,PT,21 438 97 00,21 430 23 41,encomendas@jalf.pt,VER NOTA,
210132,ANTERO SILVA TORRES LDA,"R. SANTOS-O-VELHO, 54 - 56",1200,LISBOA,PT,,,,,
210135,RISO IBERICA SA-SUC. PORTUGAL,"CP. GRANDE, 380-LT 3B PISO 1-ESCR.A",1700,LISBOA,PT,21 752 41 88,21 752 41 89,,,
210136,MULTIPLE ZONES (PORTUGAL),"TRAV. LEGUA DA POVOA, 1-A",1250-136,LISBOA,PT,21 381 09 90,21 386 38 01,pedro.gigante@mzp.pt,,
210139,DANKA PORTUGAL-EQUIPA. ESCRITORIOEDIFICIO KODAK,"R. ALEXANDRE HERCULANO, 4",2795-010,LINDA-A-VELHA,PT,21 415 36 80/1,21 415 36 99,,,
210140,SARSTEDT LDA,"EST.NAC.249 KM 4,2-ESC.B, R/C-NV 3",2635-047,CABRA-FIGA - RIO DE MOURO,PT,21 9156010,219156019,info.pt@sarstedt.com,,
210141,CAMPOS & CA LDA,"PRC. MOINHO DA BOBA, LT 190-LJ.ESQ.",2700,CASAL DE S.BRAS,PT,,,,,
210142,IAG-ARTES GRAFICAS LDA,"R. JOAO ORTIGAO RAMOS, 17-A E 17-B",1500,LISBOA,PT,21 716 06 14,21 716 43 09,,,
210143,SCHINDLER-ASCENS ESC ROLANTES SA,R NOSSA SRª CONCEIÇÃO Nº 3,2790-111,CARNAXIDE,PT,21 424 38 00,21 424 39 99,mario.franca@pt.schindler.com,,
210144,"BIOCITEK-EQUIP. DIAGNÓSTICO, SA","R. PEDRO NUNES, 47-B/C",1050,LISBOA,PT,213 511 570,213 540 037,biocitek@mail.telepac.pt,,
210145,HIGIELANDIA-SIST HIGIENE LDA,"R. JORGE ALVARES, 5-R/C.DTO.",1400,LISBOA,PT,,,,,
210146,INFORMATICA EL CORTE INGLES SA,R.TOMAS FONSECA-TORRES LX-TR. A-4º,1600,LISBOA,PT,21 0006800,21-0006801,,,
210147,QUIMANUTENCAO LDA,"AV. ALMIRANTE GAGO COUTINHO, 68-1º",1700,LISBOA,PT,21 846 30 12,21 846 30 14,,,
210148,PAPELARIA TEJO LDA,"R. DE OLIVENCA, 6 - A",2800,ALMADA,PT,21 276 76 62,21 272 92 91,,,
210149,SETESIL COM IND MAQ EQUIP LDA,"L.JOAO DAS REGRAS, Nnº22 A",2650-228,BRANDOA,PT,21 475 41 38,21 475 41 39,setesil@netcabo.pt,Sr Dª Lurdes Rixo,
210150,JOSE EDUARDO FRANCO SARAIVA,EST. MEM-MARTINS 245 B-LOJA,2725,MEM-MARTINS,PT,,,,,
210151,HOTEL ALIF AVENIDAS,"AV. DUQUE D'AVILA, 189",1050-082,LISBOA,PT,21 359 30 00,21 357 69 85,resavenidas@alifhotels.com,**** ver nota,
210156,"XECOMPEXEQUIPAMENTOS E SERVIÇOS, SA","AV ANTONIO AUGUSTO AGUIAR, 106 - 2º",1050,LISBOA,PT,21 352 05 24/28,21 352 61 37,xecompex@xecompex.com,,
210157,REBELO & FILHO LDA,"CALÇ DOS CESTEIROS, 4-A PORTA 3",1100,LISBOA,PT,21 812 77 19,21 814 18 77,paulorocha_rebeloefilho@sapo.pt,www.rebeloefilho.com   Paulo Rocha,
210158,SOCIEDADE LUSO ITALIANA,"AV. ANTONIO AUGUSTO AGUIAR, 7-A",1050,LISBOA,PT,21 356 21 21,21 314 21 21,,,
210159,HOTEL RENO,"AV DUQUE AVILA, 195/197",1050,LISBOA,PT,21 313 50 00,21 313 50 01,sanareno@sanahotels.com,***,
210160,PAPELZIGUE IND COM PAPEIS LDA,"ESTRADA DO ALCOLOMBAL, ARMAZÉM 8",2703-833,TERRUGEM,PT,21 960 56 80,21 960 56 89,tania.gomes@papelzigue.pt,,
210161,"TRUNCATA UNIPESSOAL, LDA",R EÇA DE QUEIROS 20 / A,1050-096,LISBOA,PT,21 352 57 74,21 315 47 64,truncata@gmail.com,,
210162,FACSIMILE,"RUA VICTOR BASTOS, 10 - A",1070-285,LISBOA,PT,21 382 97 92,21 382 97 94,facsimile@netcabo.pt,D MARIA LUISA,
210164,ARBOREOC.C. CHARNECA - LOJA 13,RUA DAS LAPAS,2750-772,CHARNECA - CASCAIS,PT,21-4858230,,,,
210165,"TCS - PUBLICIDADE E PROMOÇOES, SA","R. ABRANCHES FERRAO, 10 - 14º",1600-001,LISBOA,PT,21 722 20 50,21 727 36 83,,,
210166,FERNANDO JOSE JESUS GOMES,"Rua Manuel Marques, 8 -12º C",1750-171,LISBOA,PT,91 721 83 39,21 757 97 74,fjjgomes@clix.pt,,
210171,IMPRIME- LABO2GRUPO PANORAMA,ED SOINGESTE-CASAL MOINHOS LT 4,1679-014,ESTR. DA PAIA - PONTINHA,PT,21 478 97 00,21 478 97 55,orcamentos@imprime.com.pt,D. ISABEL VENICIO,
210172,ALBERTINO FERREIRA BARATA,"RUA DA CONDESSA, 28",1200,LISBOA,PT,21 346 88 59,,,,
210173,NATÁRIO DUARTE E MACHADO,"RUA INFANTE D PEDRO, LT  5-B",1700,LISBOA,PT,21 791 08 60,21 793 58 08,,,
210174,ONOMA GABINETE DE TRADUÇOES LDA,R COELHO DA ROCHA 73 C/V,1350-073,LISBOA,PT,21 392 95 90/6,21 392 95 99,geral@onoma.pt,VER NOTA  ester.ramos@onoma.pt,
210175,JOSE MANUEL,"LG MIGUEL JOSE MENDES, 10 C/V ESQº",1500,LISBOA,PT,21 714 12 05,,,,
210176,IMPRESSUS-IMPR RAPIDA DIGITAL LDA,"RUA CORONEL BENTO ROMA, 45-B",1700,LISBOA,PT,21  8436510,21 8436519,,,
210177,SOCTIP-SOCIEDADE TIPOGRAFICA,"EST NAC Nº 10, KM 108,3 PORTO ALTO",2135-114,SAMORA CORREIA,PT,263 00 99 00,263 00 99 99,aneves@peres-soctip.pt,,
210178,RUI PIMENTA E COMPANHIA LDA,"AV. ESTADOS UNIDOS AMERICA, 27 - B",1700,LISBOA,PT,21 849 08 54,21 849 08 72,,,
210179,CARLSON WAGONLIT TRAVEL,"AV COLUM BORDALO PINHEIRO,108-5º-A",1067-067,LISBOA,PT,21 722 95 55,21 722 95 99,,,
210180,"OURO TEXTEIS, LDA","RUA DO OURO, 260",1100,LISBOA,PT,21 342 52 73,21 346 32 18,,,
210181,COMPANHIA SEGUROS FIDELIDADEPALACIO SOBRAL,"LARGO CALHARIZ, 30 - 4º.",1200,LISBOA,PT,21 370 15 71,21 370 16 02,isabel.eca.freitas@caixaseguros.pt,e-mail,
210182,JORGE MANUEL SANTOS VAZ CARVALHO,"Av. Luís de Camões, lote 1-1º D",2870, MONTIJO,PT,91 457 70 75,21 886 01 51,jorgevc@iol.pt,,
210183,ATHL-ART TRANSF HIG LIMP LDA,"PRACETA RAUL BRANDAO, 66-A",2810,ALMADA,PT,21 258 19 54/79,21 258 20 15,,,
210184,CASA FERREIRA LDA,RUA DA ROSA 185,1200,LISBOA,PT,21 322 48 60,21 342 00 39,alxandra.cerdeira@hotmail.com,,
210191,JOÃO ANTÓNIO BAPTISTA ANJOCASA MENINO DEUS,"Bº STª MARIA, BLOCO F, 2-2º- ESQ",2675,PAIÃ,PT,,,,,
210192,JOÃO DA SILVA BORGES,ALTO DO LUMIAR LOTE 21.1.9 - 5º B,1750,LISBOA,PT,,,,,
210193,JORGE MANUEL PADINHACONSULTORIA APOIO TEC INFORMATICO,TRV DOS MADEIREIROS Nº. 7,2560,PALHAGUEIRAS,PT,261 981 328,261 981 888,,,
210194,FABRICA PORTUGUESA DE ENCERADOS LDA,"RUA DO VALE DE SANTO ANTONIO, 76",1170,LISBOA,PT,21 814 93 85,21 815 36 56,,,
210195,EUREST (PORTUGAL) LDA,"PRACA ALVALADE, 6 - 3º",1749-020,LISBOA,PT,,,,,
210196,TRANSOM,RUA ALEXANDRE BRAGA 26-A,1150,LISBOA,PT,21 356 28 20,21 352 18 81,,,
